institution,rank_2025,cycle,party,committee_type,total
Clemson,80,2020,REP,S,5252.0
Clemson,80,2020,REP,Y,2966.0
Clemson,80,2024,DEM,H,3030.0
Clemson,80,2024,DEM,S,390.0
Clemson,80,2024,DEM,Y,37905.0
Clemson,80,2024,REP,S,453.0
Clemson,80,2024,REP,Y,2790.0
Col School of Mines,76,2008,DEM,Y,800.0
Col School of Mines,76,2016,DEM,P,1670.0
Col School of Mines,76,2016,DEM,S,1500.0
Col School of Mines,76,2016,DEM,Y,894.0
Col School of Mines,76,2016,REP,P,450.0
Col School of Mines,76,2020,DEM,H,10.0
Col School of Mines,76,2020,DEM,P,3103.0
Col School of Mines,76,2020,DEM,S,3873.0
Col School of Mines,76,2020,DEM,Y,2047.0
Col School of Mines,76,2020,REP,S,1000.0
Col School of Mines,76,2020,REP,Y,747.0
Col School of Mines,76,2024,DEM,H,12445.0
Col School of Mines,76,2024,DEM,P,100.0
Col School of Mines,76,2024,DEM,S,700.0
Col School of Mines,76,2024,DEM,Y,1975.0
Col School of Mines,76,2024,REP,S,100.0
Col School of Mines,76,2024,REP,Y,1090.0
Colorado,98,2008,DEM,Y,3050.0
Colorado,98,2012,DEM,H,1000.0
Colorado,98,2012,DEM,S,250.0
Colorado,98,2012,DEM,Y,850.0
Colorado,98,2012,REP,Y,250.0
Colorado,98,2016,DEM,H,250.0
Colorado,98,2016,DEM,P,10060.0
Colorado,98,2016,DEM,S,4030.0
Colorado,98,2016,DEM,Y,8951.0
Colorado,98,2016,REP,P,2700.0
Colorado,98,2020,DEM,H,2708.0
Colorado,98,2020,DEM,P,18468.0
Colorado,98,2020,DEM,S,23609.0
Colorado,98,2020,DEM,Y,11299.0
Colorado,98,2020,REP,H,50.0
Colorado,98,2024,DEM,H,5270.0
Colorado,98,2024,DEM,P,3400.0
Colorado,98,2024,DEM,S,4735.0
Colorado,98,2024,DEM,Y,8656.0
Colorado,98,2024,REP,Y,380.0
Colorado St,148,2008,DEM,Y,4808.0
Colorado St,148,2012,DEM,S,1200.0
Colorado St,148,2012,DEM,Y,3712.0
